ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23313.816742 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23314.756896 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23315.504338 ms.
ThreadID: 24, Smelter: 5, Transporter: 9, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 23316.498110 ms.
ThreadID: 20, Smelter: 3, Transporter: 5, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23316.888060 ms.
ThreadID: 18, Smelter: 2, Transporter: 3, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23317.238322 ms.
ThreadID: 26, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 23317.585955 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23317.928837 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 23318.312375 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 23318.674223 ms.
ThreadID: 23, Smelter: 4, Transporter: 8, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 23320.078574 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 23320.506065 ms.
ThreadID: 22, Smelter: 4, Transporter: 7, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23322.863124 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23323.214287 ms.
ThreadID: 17, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 23323.541660 ms.
ThreadID: 30, Smelter: 0, Transporter: 0, Constructor: 5, Action: CONSTRUCTOR_STARTED, TimeStamp: 23323.914023 ms.
ThreadID: 16, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23324.201856 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23326.023691 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 23326.832039 ms.
ThreadID: 24, Smelter: 5, Transporter: 9, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23327.223879 ms.
ThreadID: 25, Smelter: 5, Transporter: 10, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 23327.570040 ms.
ThreadID: 18, Smelter: 2, Transporter: 3, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 23327.917863 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 23328.338973 ms.
